layer,head,a_电脑,a_纸箱,b_电脑,b_纸箱,a_margin_c1_minus_c2,b_margin_c1_minus_c2,delta_margin
0,0,0.00994873046875,0.03271484375,0.00982666015625,0.032470703125,-0.02276611328125,-0.02264404296875,0.0001220703125
0,1,0.00933837890625,0.1376953125,0.0052490234375,0.14453125,-0.12835693359375,-0.1392822265625,-0.01092529296875
0,2,0.000301361083984375,0.00060272216796875,3.170967102050781e-05,0.0008697509765625,-0.000301361083984375,-0.0008380413055419922,-0.0005366802215576172
0,3,1.126900315284729e-07,2.253800630569458e-07,1.126900315284729e-07,2.253800630569458e-07,-1.126900315284729e-07,-1.126900315284729e-07,0.0
0,4,0.0089111328125,0.062255859375,0.00665283203125,0.068359375,-0.0533447265625,-0.06170654296875,-0.00836181640625
0,5,0.0106201171875,0.1767578125,0.004058837890625,0.09912109375,-0.1661376953125,-0.095062255859375,0.071075439453125
0,6,1.6450881958007812e-05,1.7642974853515625e-05,2.0265579223632812e-06,0.0002498626708984375,-1.1920928955078125e-06,-0.0002478361129760742,-0.0002466440200805664
0,7,0.0017852783203125,0.0037994384765625,0.000827789306640625,0.0004177093505859375,-0.00201416015625,0.0004100799560546875,0.0024242401123046875
0,8,9.59634780883789e-06,7.040798664093018e-07,2.3189932107925415e-07,5.587935447692871e-07,8.892267942428589e-06,-3.2689422369003296e-07,-9.219162166118622e-06
0,9,0.0128173828125,0.0201416015625,0.01214599609375,0.01904296875,-0.00732421875,-0.00689697265625,0.00042724609375
0,10,0.0011749267578125,0.000865936279296875,0.000606536865234375,0.000446319580078125,0.000308990478515625,0.00016021728515625,-0.000148773193359375
0,11,0.0255126953125,0.053955078125,0.024658203125,0.03173828125,-0.0284423828125,-0.007080078125,0.0213623046875
0,12,0.00830078125,0.0478515625,0.01116943359375,0.02880859375,-0.03955078125,-0.01763916015625,0.02191162109375
0,13,0.0166015625,0.022705078125,0.01336669921875,0.0196533203125,-0.006103515625,-0.00628662109375,-0.00018310546875
0,14,0.02734375,0.037353515625,0.0244140625,0.033447265625,-0.010009765625,-0.009033203125,0.0009765625
0,15,4.764560328305439e-22,7.497146725654602e-08,7.113753267956038e-22,1.126900315284729e-07,-7.497146725654554e-08,-1.1269003152847219e-07,-3.771856427192664e-08
0,16,0.005126953125,0.0556640625,0.004241943359375,0.059326171875,-0.050537109375,-0.055084228515625,-0.004547119140625
0,17,0.0089111328125,0.048583984375,0.007568359375,0.041015625,-0.0396728515625,-0.033447265625,0.0062255859375
0,18,0.04931640625,0.0986328125,0.055908203125,0.11181640625,-0.04931640625,-0.055908203125,-0.006591796875
0,19,0.146484375,0.29296875,0.12158203125,0.2431640625,-0.146484375,-0.12158203125,0.02490234375
0,20,0.00136566162109375,0.00186920166015625,0.0009765625,0.00531005859375,-0.0005035400390625,-0.00433349609375,-0.0038299560546875
0,21,0.00046539306640625,0.0003509521484375,0.001678466796875,0.0020294189453125,0.00011444091796875,-0.0003509521484375,-0.00046539306640625
